iter	Passed	Remaining
0	188	94261
1	216	53823
2	241	40017
3	271	33648
4	299	29607
5	323	26633
6	338	23842
7	352	21664
8	367	20065
9	382	18722
10	400	17818
11	419	17064
12	439	16471
13	460	15999
14	479	15490
15	496	15018
16	514	14606
17	532	14267
18	553	14003
19	572	13741
20	592	13514
21	614	13341
22	635	13189
23	654	12977
24	672	12770
25	690	12593
26	710	12453
27	728	12287
28	744	12099
29	764	11972
30	783	11849
31	803	11748
32	823	11650
33	841	11528
34	859	11414
35	881	11359
36	902	11287
37	923	11231
38	944	11163
39	969	11151
40	1022	11445
41	1064	11607
42	1093	11623
43	1119	11599
44	1144	11571
45	1167	11524
46	1185	11423
47	1202	11326
48	1221	11240
49	1242	11180
50	1259	11090
51	1282	11047
52	1305	11008
53	1326	10954
54	1344	10880
55	1362	10806
56	1381	10735
57	1400	10675
58	1423	10642
59	1448	10620
60	1471	10587
61	1499	10589
62	1531	10626
63	1557	10608
64	1586	10616
65	1612	10603
66	1634	10565
67	1655	10520
68	1676	10469
69	1695	10413
70	1714	10360
71	1735	10314
72	1753	10255
73	1770	10193
74	1789	10141
75	1809	10092
76	1830	10053
77	1848	10001
78	1866	9947
79	1885	9897
80	1907	9865
81	1926	9822
82	1946	9778
83	1963	9726
84	1981	9675
85	2000	9631
86	2020	9593
87	2041	9558
88	2062	9524
89	2083	9491
90	2102	9449
91	2122	9414
92	2141	9370
93	2157	9319
94	2174	9271
95	2194	9234
96	2213	9196
97	2234	9164
98	2254	9133
99	2272	9090
100	2301	9091
101	2327	9082
102	2353	9072
103	2377	9053
104	2398	9023
105	2417	8987
106	2439	8958
107	2462	8938
108	2483	8908
109	2509	8897
110	2529	8864
111	2549	8831
112	2569	8799
113	2586	8759
114	2607	8727
115	2626	8695
116	2645	8659
117	2667	8633
118	2685	8598
119	2710	8583
120	2731	8556
121	2752	8527
122	2776	8509
123	2795	8476
124	2817	8452
125	2835	8417
126	2855	8387
127	2877	8361
128	2897	8333
129	2920	8311
130	2939	8278
131	2958	8247
132	2978	8218
133	2995	8180
134	3014	8150
135	3033	8118
136	3051	8086
137	3071	8057
138	3089	8022
139	3110	7998
140	3128	7965
141	3148	7936
142	3167	7907
143	3184	7873
144	3202	7840
145	3223	7815
146	3242	7787
147	3261	7757
148	3281	7730
149	3301	7704
150	3322	7678
151	3342	7652
152	3360	7621
153	3378	7590
154	3395	7558
155	3417	7535
156	3435	7506
157	3457	7484
158	3477	7458
159	3500	7438
160	3525	7422
161	3543	7392
162	3573	7388
163	3592	7360
164	3610	7329
165	3627	7299
166	3646	7272
167	3663	7239
168	3683	7215
169	3706	7195
170	3728	7173
171	3743	7139
172	3763	7114
173	3783	7088
174	3803	7062
175	3822	7036
176	3842	7011
177	3861	6984
178	3883	6964
179	3907	6946
180	3930	6926
181	3948	6899
